dbms,index_mode,index_label,query_id,query_name,median_ms,mean_ms,min_ms,max_ms,std_ms,p95,p99,baseline_median_ms,relative_effect
mongo,idx_status_only,Only status index,Q6,Aggregation by course_id for graded activities,417.505,421.318578,385.273,559.525,21.612553152547424,457.23864999999995,518.00394,564.3815,1.3517957868768038
mongo,idx_student_id_only,Only student_id index,Q6,Aggregation by course_id for graded activities,537.4465,543.206139,486.067,798.664,32.31623834762671,590.53225,692.8328,564.3815,1.0501166162585485
mongo,all_indexes,All benchmark indexes,Q7,Broad score range where indexes are expected to help little,438.574,444.955229,397.344,634.633,30.001640445181685,495.31044999999983,582.62397,449.37350000000004,1.0246241227250135
mongo,idx_course_score_only,Only composite index on course_id + score,Q7,Broad score range where indexes are expected to help little,440.9225,445.648097,386.933,660.082,28.791210034467802,486.1909,577.6190999999999,449.37350000000004,1.0191666335920713
mongo,idx_created_at_only,Only created_at index,Q7,Broad score range where indexes are expected to help little,438.7555,443.576934,402.731,626.289,25.08016237567921,480.16495,551.88582,449.37350000000004,1.0242002664354066
mongo,idx_status_created_at_only,Only composite index on status + created_at,Q7,Broad score range where indexes are expected to help little,437.0775,442.872076,398.603,679.87,29.503383157427187,489.91535,572.6168399999999,449.37350000000004,1.02813231063141
mongo,idx_status_only,Only status index,Q7,Broad score range where indexes are expected to help little,436.8565,442.150046,399.363,630.432,28.440207815317784,485.5829,577.7579599999999,449.37350000000004,1.0286524293446475
mongo,idx_student_id_only,Only student_id index,Q7,Broad score range where indexes are expected to help little,440.762,444.63264799999996,404.198,591.258,24.328256077159583,484.3821,560.2154700000001,449.37350000000004,1.0195377550696294
mysql,all_indexes,All benchmark indexes,Q1,Exact search by student_id,15.448,15.569222,4.506,31.071,3.739491342712032,24.85175,29.311479999999996,124.6115,8.066513464526153
mysql,idx_course_score_only,Only composite index on course_id + score,Q1,Exact search by student_id,125.52199999999999,126.66295299999999,108.758,173.76,8.248865670966456,140.21755,153.14716999999996,124.6115,0.9927462914867514
mysql,idx_created_at_only,Only created_at index,Q1,Exact search by student_id,124.0865,122.785835,107.985,154.813,6.389508954877476,131.04665,136.78010999999998,124.6115,1.0042309195601455
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q1,Exact search by student_id,124.58349999999999,124.41272900000001,108.427,149.516,5.935879112684104,134.18965,140.54676999999998,124.6115,1.0002247488632123
mysql,idx_status_only,Only status index,Q1,Exact search by student_id,124.37549999999999,123.76768399999999,108.325,150.158,6.245672868131957,133.36825000000002,140.11165,124.6115,1.0018974798091265
mysql,idx_student_id_only,Only student_id index,Q1,Exact search by student_id,15.3945,15.335091,4.358,28.273,4.157151587570634,25.195549999999997,26.72895,124.6115,8.094546753710741
mysql,all_indexes,All benchmark indexes,Q2,Date range filtering by created_at,31.0655,29.970168,11.798,37.667,4.704568270137487,33.478500000000004,34.7301,154.89100000000002,4.985949043150763
mysql,idx_course_score_only,Only composite index on course_id + score,Q2,Date range filtering by created_at,155.5395,154.355503,133.914,186.095,8.134724524351036,166.271,175.04577999999998,154.89100000000002,0.9958306410911699
mysql,idx_created_at_only,Only created_at index,Q2,Date range filtering by created_at,30.864,28.159969,11.674,37.157,7.099063870248868,34.193149999999996,35.5546,154.89100000000002,5.018500518403318
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q2,Date range filtering by created_at,30.9145,29.559724,14.373,41.774,4.849491065608783,32.80005,34.40102,154.89100000000002,5.010302608808165
mysql,idx_status_only,Only status index,Q2,Date range filtering by created_at,155.692,154.72730900000002,132.44,217.744,8.06926426369074,165.1669,176.19782,154.89100000000002,0.9948552269866147
mysql,idx_student_id_only,Only student_id index,Q2,Date range filtering by created_at,155.4835,154.03668599999997,132.987,189.145,7.052373893870276,161.80624999999998,168.4187,154.89100000000002,0.9961893062607932
mysql,all_indexes,All benchmark indexes,Q3,Low-selectivity filtering by status,62.017,59.513603,39.016,69.008,6.6678651218117535,64.6424,66.84063,155.457,2.506683651256913
mysql,idx_course_score_only,Only composite index on course_id + score,Q3,Low-selectivity filtering by status,156.50150000000002,156.63297599999999,136.472,204.486,9.07109037282597,171.7496,185.45793,155.457,0.9933259425628507
mysql,idx_created_at_only,Only created_at index,Q3,Low-selectivity filtering by status,155.3885,153.593155,133.942,177.686,7.101824803000107,161.04815,167.13496999999998,155.457,1.0004408305633943
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q3,Low-selectivity filtering by status,61.8365,59.816258999999995,38.769,82.902,6.349745396511545,64.79725,69.04422000000001,155.457,2.5140006306954628
mysql,idx_status_only,Only status index,Q3,Low-selectivity filtering by status,61.5025,58.95165,38.663,108.26,7.630431109473197,66.43525,72.80392,155.457,2.527653347424901
mysql,idx_student_id_only,Only student_id index,Q3,Low-selectivity filtering by status,155.737,155.960753,134.864,214.121,8.846423364860023,171.0623,185.21704000000003,155.457,0.9982020971252817
mysql,all_indexes,All benchmark indexes,Q4,Combined filtering by status and created_at,31.0375,28.505391,8.258,41.109,6.656012087957325,32.60339999999999,33.35286,186.72699999999998,6.016173983084977
mysql,idx_course_score_only,Only composite index on course_id + score,Q4,Combined filtering by status and created_at,188.714,188.949289,164.9,247.857,9.350841711535551,205.33835,215.03487,186.72699999999998,0.9894708394713693
mysql,idx_created_at_only,Only created_at index,Q4,Combined filtering by status and created_at,115.156,115.655444,97.086,147.108,8.16896628852678,127.0217,136.08766,186.72699999999998,1.6215134252665946
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q4,Combined filtering by status and created_at,30.767,27.576506000000002,7.974,42.024,7.388374363125736,32.22645,33.03243,186.72699999999998,6.069067507394285
mysql,idx_status_only,Only status index,Q4,Combined filtering by status and created_at,253.7695,255.234908,229.612,315.953,10.817260820151622,275.45899999999995,290.28179,186.72699999999998,0.7358134054722888
mysql,idx_student_id_only,Only student_id index,Q4,Combined filtering by status and created_at,186.485,186.226405,162.303,308.413,10.772002750381642,200.71224999999998,214.46536,186.72699999999998,1.0012976915033378
mysql,all_indexes,All benchmark indexes,Q5,Sort by created_at DESC with LIMIT,16.195999999999998,19.846130000000002,5.778,33.684,7.913387783706501,31.23875,32.09572,247.60750000000002,15.288188441590519
mysql,idx_course_score_only,Only composite index on course_id + score,Q5,Sort by created_at DESC with LIMIT,248.72199999999998,249.62817900000002,222.346,352.277,12.760460377039415,270.06255,296.49695,247.60750000000002,0.9955190936065167
mysql,idx_created_at_only,Only created_at index,Q5,Sort by created_at DESC with LIMIT,15.508,16.220326,5.084,42.658,4.879472298480199,27.005999999999972,30.70611,247.60750000000002,15.966436677843696
mysql,idx_status_created_at_only,Only composite index on status + created_at,Q5,Sort by created_at DESC with LIMIT,246.3915,245.661885,221.663,285.199,8.974889276715576,258.72565,269.8144,247.60750000000002,1.0049352351846554
mysql,idx_status_only,Only status index,Q5,Sort by created_at DESC with LIMIT,248.911,248.413418,223.044,297.852,9.115269854359433,262.47204999999997,272.93265,247.60750000000002,0.9947631884488833
mysql,idx_student_id_only,Only student_id index,Q5,Sort by created_at DESC with LIMIT,243.671,243.321543,221.138,279.84,9.267606329858648,258.51905,266.09285,247.60750000000002,1.0161549794600098
mysql,all_indexes,All benchmark indexes,Q6,Aggregation by course_id for graded activities,305.214,305.660212,267.846,363.39,12.654487419287308,326.03405,344.08343,268.4225,0.8794567090631492
